Date,Value
3/8/2020,108.15
3/9/2020,108.76
3/10/2020,109.38
3/11/2020,108.96
3/12/2020,110.54
3/13/2020,114.97
3/14/2020,116.54
3/15/2020,117.79
3/16/2020,118.96
3/17/2020,120.16
3/18/2020,121.73
3/19/2020,122.67
3/20/2020,123.98
3/21/2020,126.28
3/22/2020,127.96
3/23/2020,128.49
3/24/2020,128.41
3/25/2020,128.04
3/26/2020,128.11
3/27/2020,128
3/28/2020,128.49
3/29/2020,127.77
3/30/2020,126.06
3/31/2020,125.13
4/1/2020,125.03
4/2/2020,125.81
4/3/2020,125.74
4/4/2020,125.72
4/5/2020,125.01
4/6/2020,124.22
4/7/2020,124.22
4/8/2020,123.38
4/9/2020,122.75
4/10/2020,122.5
4/11/2020,122.52
4/12/2020,121.98
4/13/2020,122.34
4/14/2020,122.77
4/15/2020,122.54
4/16/2020,122.49
4/17/2020,121.88
4/18/2020,122.2
4/19/2020,123.31
4/20/2020,123.53
4/21/2020,123.99
4/22/2020,124.02
4/23/2020,124.19
4/24/2020,123.81
4/25/2020,124.54
4/26/2020,125.4
4/27/2020,125.41
4/28/2020,124.58
4/29/2020,125.4
4/30/2020,125.41
5/1/2020,125.92
5/2/2020,126.3
5/3/2020,126.49
5/4/2020,128.07
5/5/2020,128.89
5/6/2020,128.6
5/7/2020,129.45
5/8/2020,129.53
5/9/2020,128.98
5/10/2020,129.62
5/11/2020,128.51
5/12/2020,128.16
5/13/2020,127.37
5/14/2020,126.36
5/15/2020,127.57
5/16/2020,128.92
5/17/2020,129.43
5/18/2020,129.48
5/19/2020,128.86
5/20/2020,127.92
5/21/2020,127.35
5/22/2020,127.81
5/23/2020,131.41
5/24/2020,131.79
5/25/2020,131.59
5/26/2020,132.09
5/27/2020,131.73
5/28/2020,130.84
5/29/2020,130.47
5/30/2020,129.83
5/31/2020,128.79
6/1/2020,127.1
6/2/2020,125.8
6/3/2020,124.77
6/4/2020,123.62
6/5/2020,123.46
6/6/2020,123
6/7/2020,122.62
6/8/2020,121.97
6/9/2020,122.32
6/10/2020,122.01
6/11/2020,121.61
6/12/2020,121.47
6/13/2020,121.79
6/14/2020,121.97
6/15/2020,122.26
6/16/2020,121.71
6/17/2020,120.24
6/18/2020,119.44
6/19/2020,119.63
6/20/2020,119.44
6/21/2020,119.19
6/22/2020,118.48
6/23/2020,117.71
6/24/2020,117.79
6/25/2020,118.17
6/26/2020,118.47
6/27/2020,119.25
6/28/2020,120.26
6/29/2020,120.9
6/30/2020,121.52
7/1/2020,123
7/2/2020,123.63
7/3/2020,123
7/4/2020,123.27
7/5/2020,122.83
7/6/2020,122.95
7/7/2020,122.64
7/8/2020,122.48
7/9/2020,121.98
7/10/2020,124.35
7/11/2020,125.89
7/12/2020,125.1
7/13/2020,124.27
7/14/2020,123.11
7/15/2020,121.34
7/16/2020,119.96
7/17/2020,119.15
7/18/2020,119.06
7/19/2020,118.66
7/20/2020,117.89
7/21/2020,117.98
7/22/2020,117.61
7/23/2020,117.91
7/24/2020,117.83
7/25/2020,118.36
7/26/2020,118.51
7/27/2020,117.22
7/28/2020,116.48
7/29/2020,116.64
7/30/2020,116
7/31/2020,116.2
8/1/2020,115.24
8/2/2020,115.11
8/3/2020,115.54
8/4/2020,115.39
8/5/2020,115.06
8/6/2020,113.86
8/7/2020,112.91
8/8/2020,111.94
