"","id","title"
"1","QNA","Quarterly National Accounts"
"2","PAT_IND","Patent indicators"
"3","SNA_TABLE11","11. Government expenditure by function (COFOG)"
"4","EO78_MAIN","Economic Outlook No 78 - December 2005 - Annual Projections for OECD Countries"
"5","ANHRS","Average annual hours actually worked per worker"
"6","GOV_DEBT","Central Government Debt"
"7","EO78_TRADE","Economic Outlook No 78 - December 2005 - Annual Trade and Payments Projections"
"8","USLHRS_D","Usual hours worked by weekly hour bands"
"9","SNA_TABLE10","10. Taxes and social contributions receipts"
"10","EO77_MAIN","Economic Outlook No 77 - June 2005 - Annual Projections for OECD Countries"
"11","USLHRS_I","Incidence of employment by usual weekly hours worked"
"12","EO77_TRADE","Economic Outlook No 77 - June 2005 - Annual Trade and Payments Projections"
"13","MEI_CLI","Composite Leading Indicators (MEI)"
"14","JOBQ_I","OECD Inventory of Survey Questions on the Quality of the Working Environment"
"15","FTPTN_D","FTPT employment based on national definitions"
"16","FTPTN_I","Incidence of FTPT employment - national definitions"
"17","MEI_REAL","Production and Sales (MEI)"
"18","LMPEXP","Public expenditure and participant stocks on LMP"
"19","MEI_BOP","Archived Balance of Payments (BOP5)"
"20","ALFS_POP_VITAL","Population and Vital Statistics"
"21","ALFS_POP_LABOUR","Population and Labour Force"
"22","ALFS_EMP","Employment by activities and status (ALFS)"
"23","FDI_FLOW_INDUSTRY","FDI flows by industry"
"24","RIOMARKERS","Aid activities targeting Global Environmental Objectives (CRS)"
"25","PMR","Product Market Regulation 2013."
"26","DEC_I","Decile ratios of gross earnings"
"27","HEALTH_STAT","Health Status"
"28","MIN2AVE","Minimum relative to average wages of full-time workers"
"29","FIGURE1_E_AEO2013","Figure 1: Real GDP growth 2013 (East)"
"30","TABLE4","Private direct investment and other private capital [DAC4]"
"31","HEALTH_REAC","Health Care Resources"
"32","TABLE_II4","Table II.4. Overall statutory tax rates on dividend income"
"33","BATIS_EBOPS2002","EBOPS 2002 - Balanced International Trade in Services (1995-2012)"
"34","TUD","Trade Union Dataset"
"35","FDI_POSITION_INDUSTRY","FDI positions by industry"
"36","FDI_FLOW_PARTNER","FDI flows by partner country"
"37","SITC_SECTION","Trade in value classified by sections of SITC"
"38","PARTNER","Trade in value by partner countries"
"39","MW_CURP","Minimum wages at current prices in NCU"
"40","TABLE2A","Aid (ODA) disbursements to countries and regions [DAC2a]"
"41","TENURE_AVE","Employment by job tenure intervals - average tenure"
"42","TABLE2B","Other official flows (OOF) and export credits - disbursements [DAC2b]"
"43","FISH_PAT_RD","Fisheries R&D expenditures"
"44","STI_STEEL_MAKINGCAPACITY","Steelmaking capacity"
"45","TSEC1","I: TEC by Size Classes"
"46","PT1","General insurance statistics"
"47","PT7","Gross claims payments"
"48","PT3","Insurance business by domestic and foreign risks"
"49","PT8","Gross operating expenses"
"50","PT6","Destinations of investments by direct insurance or reinsurance companies"
"51","PT2","Business written in the reporting country"
"52","PT9","Commissions in the reporting country"
"53","PT5","Insurance business written in the reporting country"
"54","PT4","Insurance business written abroad by branches"
"55","TOURISM_REC_EXP","Receipts and expenditure"
"56","HIGH_AGLINK_2016","OECD-FAO Agricultural Outlook 2016-2025"
"57","GD_BREAKDOWNS_4","Data for the breakdown visualisations of the Going Digital portal - part 4"
"58","GD_BREAKDOWNS_5","Data for the breakdown visualisations of the Going Digital portal - part 5"
"59","TISP","EBOPS 2002 - Trade in services by partner country"
"60","AFA_IN3","Inward activity of multinationals by industrial sector (manufacturing) - ISIC Rev 3"
"61","SNA_TABLE1","1. Gross domestic product (GDP)"
"62","SNA_TABLE2","2. Disposable income and net lending - net borrowing"
"63","SNA_TABLE3","3. Population and employment by main activity"
"64","SNA_TABLE4","4. PPPs and exchange rates"
"65","SNA_TABLE5","5. Final consumption expenditure of households"
"66","SNA_TABLE6","6. Value added and its components by activity, ISIC rev3"
"67","SNA_TABLE7","7. Labour input by activity, ISIC rev3"
"68","SNA_TABLE8","8. Capital formation by activity, ISIC rev3"
"69","SNA_TABLE9","9. Fixed assets by activity and by type of product, ISIC rev3"
"70","POP_FIVE_HIST","Population"
"71","EO76_MAIN","Economic Outlook No 76 - December 2004 - Annual Projections for OECD Countries"
"72","SNA_TABLE13","13. Simplified non-financial accounts"
"73","SNA_TABLE610","610. Financial accounts - consolidated"
"74","SNA_TABLE620","620. Financial accounts - non consolidated"
"75","SNA_TABLE710","710. Financial balance sheets - consolidated"
"76","SNA_TABLE720","720. Financial balance sheets - non consolidated"
"77","SNA_TABLE750","750. General Government Debt - Maastricht"
"78","AIRTRANS_CO2","Air Transport CO2 Emissions"
"79","EO76_TRADE","Economic Outlook No 76 - December 2004 - Annual Trade and Payments Projections"
"80","MEI_BTS_COS","Business Tendency and Consumer Opinion Surveys (MEI)"
