"","date","TMIN.Albacete","TMIN.Amsterdam","TMIN.Beijng","TMIN.HongKong","TMIN.London","TMIN.Madrid","TMIN.NewYork","TMIN.Oviedo","TMIN.Paris","TMIN.Seoul","TMIN.Singapore","TMIN.Tokyo","TMIN.Dubai","TMIN.Frankfurt","TMIN.Chicago","TMIN.LosAngeles","TMAX.Albacete","TMAX.Amsterdam","TMAX.Beijng","TMAX.HongKong","TMAX.London","TMAX.Madrid","TMAX.NewYork","TMAX.Oviedo","TMAX.Paris","TMAX.Seoul","TMAX.Singapore","TMAX.Tokyo","TMAX.Dubai","TMAX.Frankfurt","TMAX.Chicago","TMAX.LosAngeles","PRCP.Albacete","PRCP.Amsterdam","PRCP.Beijng","PRCP.HongKong","PRCP.London","PRCP.Madrid","PRCP.NewYork","PRCP.Oviedo","PRCP.Paris","PRCP.Seoul","PRCP.Singapore","PRCP.Tokyo","PRCP.Dubai","PRCP.Frankfurt","PRCP.Chicago","PRCP.LosAngeles"
"1",1989-01-01,-5,NA,-8,11,5,1,0,-2,4,-4,24,2,NA,NA,NA,NA,11,NA,-1,17,6,13,2,10,6,3,30,12,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA,NA
"2",1989-01-02,-6,NA,-8,12,4,1,2,-2,3,-3,NA,2,NA,NA,NA,NA,12,NA,3,17,8,11,7,9,5,4,32,15,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,10,3,0,NA,NA,NA,NA
"3",1989-01-03,-4,NA,-6,13,2,0,-2,-1,-2,-3,24,-1,NA,NA,NA,NA,5,NA,5,19,10,8,4,11,0,4,32,15,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,5,0,NA,NA,NA,NA
"4",1989-01-04,-7,NA,-8,NA,4,-1,-12,3,-1,-7,NA,1,NA,NA,NA,NA,8,NA,4,20,11,7,-2,11,5,0,31,9,NA,NA,NA,NA,0,2,0,NA,0,0,0,4,79,0,0,0,NA,NA,NA,NA
"5",1989-01-05,-4,NA,-4,15,-1,-1,-12,4,2,-7,25,1,NA,NA,NA,NA,10,NA,0,NA,9,9,-3,13,9,3,31,9,NA,NA,NA,NA,0,98,17,NA,46,0,0,0,36,0,0,0,NA,NA,NA,NA
"6",1989-01-06,0,NA,-2,15,5,1,-6,9,6,-1,24,-2,NA,NA,NA,NA,10,NA,0,18,11,6,-3,16,12,7,31,12,NA,NA,NA,NA,18,2,62,NA,0,55,109,246,7,0,0,0,NA,NA,NA,NA
"7",1989-01-07,4,NA,-8,NA,7,4,-3,8,6,6,NA,2,NA,NA,NA,NA,10,NA,6,23,10,10,2,12,8,10,32,9,NA,NA,NA,NA,0,2,0,NA,0,0,3,6,6,70,0,0,NA,NA,NA,NA
"8",1989-01-08,3,NA,-2,19,8,3,2,3,8,6,24,5,NA,NA,NA,NA,13,NA,6,21,10,13,10,13,9,9,32,9,NA,NA,NA,NA,0,1,0,0,1,0,51,0,2,40,NA,15,NA,NA,NA,NA
"9",1989-01-09,-2,NA,-3,NA,8,4,1,3,5,5,24,7,NA,NA,NA,NA,15,NA,7,21,9,12,7,14,7,7,NA,9,NA,NA,NA,NA,0,35,0,0,8,0,0,0,3,20,NA,0,NA,NA,NA,NA
"10",1989-01-10,-3,NA,-1,18,3,2,-2,5,6,4,NA,7,NA,NA,NA,NA,12,NA,3,19,8,10,3,14,9,7,NA,13,NA,NA,NA,NA,3,11,0,0,1,32,0,0,1,20,NA,0,NA,NA,NA,NA
"11",1989-01-11,2,NA,-4,NA,-2,6,0,4,5,0,NA,6,NA,NA,NA,NA,12,NA,0,24,8,11,6,14,10,6,NA,14,NA,NA,NA,NA,0,3,0,0,7,0,0,0,0,190,NA,5,NA,NA,NA,NA
"12",1989-01-12,0,NA,-7,NA,0,5,0,3,4,0,NA,5,NA,NA,NA,NA,10,NA,0,18,10,12,9,16,10,2,NA,11,NA,NA,NA,NA,0,31,0,NA,55,0,152,0,13,0,NA,10,NA,NA,NA,NA
"13",1989-01-13,-4,NA,-9,NA,0,4,-2,4,2,-4,NA,4,NA,NA,NA,NA,14,NA,2,8,9,14,7,17,8,1,NA,8,NA,NA,NA,NA,0,5,0,NA,18,0,0,0,0,0,NA,0,NA,NA,NA,NA
"14",1989-01-14,-2,NA,-8,5,2,3,-4,3,5,-8,NA,2,NA,NA,NA,NA,8,NA,0,8,10,14,4,14,11,-2,NA,6,NA,NA,NA,NA,0,16,0,0,16,0,51,5,4,0,NA,0,NA,NA,NA,NA
"15",1989-01-15,-4,NA,-10,6,5,5,3,5,1,-6,NA,1,NA,NA,NA,NA,8,NA,3,10,10,13,9,14,10,0,NA,5,NA,NA,NA,NA,0,0,0,0,0,0,64,0,0,0,NA,0,NA,NA,NA,NA
"16",1989-01-16,4,NA,-8,7,7,5,1,3,-1,-1,NA,-2,NA,NA,NA,NA,12,NA,5,11,9,11,7,14,3,5,NA,10,NA,NA,NA,NA,0,1,0,0,14,0,0,0,1,0,NA,0,NA,NA,NA,NA
"17",1989-01-17,4,NA,-8,9,5,3,1,2,1,-2,NA,-3,NA,NA,NA,NA,8,NA,1,16,7,11,9,14,5,3,NA,10,NA,NA,NA,NA,7,22,0,0,12,0,0,0,10,0,NA,0,NA,NA,NA,NA
"18",1989-01-18,1,NA,-8,12,-3,5,2,3,3,-2,NA,0,NA,NA,NA,NA,7,NA,1,21,5,12,10,13,6,1,NA,12,NA,NA,NA,NA,0,1,0,0,1,0,8,0,1,60,NA,0,NA,NA,NA,NA
"19",1989-01-19,2,NA,-8,12,-4,3,4,1,3,1,NA,5,NA,NA,NA,NA,10,NA,6,16,6,10,9,12,4,4,NA,13,NA,NA,NA,NA,0,1,0,0,0,10,5,0,0,20,NA,10,NA,NA,NA,NA
