"","date","TMIN.Albacete","TMIN.Amsterdam","TMIN.Beijng","TMIN.HongKong","TMIN.London","TMIN.LosAngeles","TMIN.Madrid","TMIN.Oviedo","TMIN.Paris","TMIN.Seoul","TMIN.Singapore","TMIN.Tokyo","TMIN.Dubai","TMIN.NewYork","TMIN.Frankfurt","TMIN.Chicago","TMAX.Albacete","TMAX.Amsterdam","TMAX.Beijng","TMAX.HongKong","TMAX.London","TMAX.LosAngeles","TMAX.Madrid","TMAX.Oviedo","TMAX.Paris","TMAX.Seoul","TMAX.Singapore","TMAX.Tokyo","TMAX.Dubai","TMAX.NewYork","TMAX.Frankfurt","TMAX.Chicago","PRCP.Albacete","PRCP.Amsterdam","PRCP.Beijng","PRCP.HongKong","PRCP.London","PRCP.LosAngeles","PRCP.Madrid","PRCP.Oviedo","PRCP.Paris","PRCP.Seoul","PRCP.Singapore","PRCP.Tokyo","PRCP.Dubai","PRCP.NewYork","PRCP.Frankfurt","PRCP.Chicago"
"1",1989-01-01,-5,5,-8,11,5,6,1,-2,4,-4,24,2,NA,NA,NA,NA,11,8,-1,17,6,17,13,10,6,3,30,12,NA,NA,NA,NA,0,0,0,0,0,19,0,0,0,0,3,0,NA,NA,NA,NA
"2",1989-01-02,-6,2,-8,12,4,3,1,-2,3,-3,NA,2,NA,NA,NA,NA,12,8,3,17,8,19,11,9,5,4,32,15,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,10,3,0,NA,NA,NA,NA
"3",1989-01-03,-4,1,-6,13,2,6,0,-1,-2,-3,24,-1,NA,NA,NA,NA,5,5,5,19,10,21,8,11,2,4,32,15,NA,NA,NA,NA,0,0,0,0,0,8,0,0,0,0,5,0,NA,NA,NA,NA
"4",1989-01-04,-7,1,-8,NA,4,8,-1,3,-1,-7,NA,1,NA,NA,NA,NA,8,7,4,20,11,18,7,11,5,0,31,9,NA,NA,NA,NA,0,66,0,NA,0,4,0,4,81,0,0,0,NA,NA,NA,NA
"5",1989-01-05,-4,4,-4,15,-1,9,-1,4,3,-7,25,1,NA,NA,NA,NA,10,7,0,NA,9,14,9,13,8,3,31,9,NA,NA,NA,NA,0,48,17,NA,46,28,0,0,27,0,0,0,NA,NA,NA,NA
"6",1989-01-06,0,4,-2,15,5,8,1,9,6,-1,24,-2,NA,NA,NA,NA,10,10,0,18,11,12,6,16,13,7,31,12,NA,NA,NA,NA,18,17,62,NA,0,56,55,246,20,0,0,0,NA,NA,NA,NA
"7",1989-01-07,4,4,-8,NA,7,2,4,8,7,6,NA,2,NA,NA,NA,NA,10,9,6,23,10,11,10,12,10,10,32,9,NA,NA,NA,NA,0,0,0,NA,0,0,0,6,7,70,0,0,NA,NA,NA,NA
"8",1989-01-08,3,8,-2,19,8,2,3,3,8,6,24,5,NA,NA,NA,NA,13,10,6,21,10,15,13,13,9,9,32,9,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,40,NA,15,NA,NA,NA,NA
"9",1989-01-09,-2,7,-3,NA,8,3,4,3,5,5,24,7,NA,NA,NA,NA,15,9,7,21,9,18,12,14,8,7,NA,9,NA,NA,NA,NA,0,1,0,0,8,0,0,0,3,20,NA,0,NA,NA,NA,NA
"10",1989-01-10,-3,3,-1,18,3,5,2,5,6,4,NA,7,NA,NA,NA,NA,12,8,3,19,8,19,10,14,9,7,NA,13,NA,NA,NA,NA,3,21,0,0,1,0,32,0,4,20,NA,0,NA,NA,NA,NA
"11",1989-01-11,2,1,-4,NA,-2,8,6,4,5,0,NA,6,NA,NA,NA,NA,12,6,0,24,8,18,11,14,10,6,NA,14,NA,NA,NA,NA,0,0,0,0,7,0,0,0,0,190,NA,5,NA,NA,NA,NA
"12",1989-01-12,0,5,-7,NA,0,6,5,3,4,0,NA,5,NA,NA,NA,NA,10,9,0,18,10,18,12,16,10,2,NA,11,NA,NA,NA,NA,0,34,0,NA,55,0,0,0,13,0,NA,10,NA,NA,NA,NA
"13",1989-01-13,-4,3,-9,NA,0,3,4,4,2,-4,NA,4,NA,NA,NA,NA,14,8,2,8,9,17,14,17,8,1,NA,8,NA,NA,NA,NA,0,0,0,NA,18,0,0,0,0,0,NA,0,NA,NA,NA,NA
"14",1989-01-14,-2,5,-8,5,2,2,3,3,5,-8,NA,2,NA,NA,NA,NA,8,9,0,8,10,14,14,14,11,-2,NA,6,NA,NA,NA,NA,0,5,0,0,16,0,0,5,2,0,NA,0,NA,NA,NA,NA
"15",1989-01-15,-4,6,-10,6,5,3,5,5,1,-6,NA,1,NA,NA,NA,NA,8,9,3,10,10,20,13,14,11,0,NA,5,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"16",1989-01-16,4,5,-8,7,7,5,5,3,0,-1,NA,-2,NA,NA,NA,NA,12,9,5,11,9,22,11,14,6,5,NA,10,NA,NA,NA,NA,0,0,0,0,14,0,0,0,0,0,NA,0,NA,NA,NA,NA
"17",1989-01-17,4,0,-8,9,5,5,3,2,1,-2,NA,-3,NA,NA,NA,NA,8,7,1,16,7,24,11,14,5,3,NA,10,NA,NA,NA,NA,7,4,0,0,12,0,0,0,13,0,NA,0,NA,NA,NA,NA
"18",1989-01-18,1,-1,-8,12,-3,9,5,3,3,-2,NA,0,NA,NA,NA,NA,7,5,1,21,5,27,12,13,6,1,NA,12,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,60,NA,0,NA,NA,NA,NA
"19",1989-01-19,2,0,-8,12,-4,9,3,1,3,1,NA,5,NA,NA,NA,NA,10,3,6,16,6,26,10,12,5,4,NA,13,NA,NA,NA,NA,0,0,0,0,0,0,10,0,0,20,NA,10,NA,NA,NA,NA
"20",1989-01-20,1,1,-5,12,-1,10,4,2,3,2,NA,8,NA,NA,NA,NA,11,3,7,20,8,25,9,12,7,6,NA,13,NA,NA,NA,NA,6,0,0,0,36,0,2,4,2,40,NA,50,NA,NA,NA,NA
"21",1989-01-21,-3,1,-5,NA,3,13,2,5,3,-1,24,5,NA,NA,NA,NA,10,7,8,18,9,25,10,14,8,5,31,13,NA,NA,NA,NA,0,9,0,0,46,0,0,0,53,0,NA,0,NA,NA,NA,NA
"22",1989-01-22,-3,0,-3,NA,0,8,2,5,4,-2,NA,4,NA,NA,NA,NA,10,9,0,16,9,22,11,14,8,8,NA,12,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,20,NA,0,NA,NA,NA,NA
"23",1989-01-23,-4,1,-5,8,2,10,2,1,0,1,23,0,NA,NA,NA,NA,11,8,4,16,9,14,11,12,7,5,NA,5,NA,NA,NA,NA,0,0,0,0,0,10,0,0,0,60,71,360,NA,NA,NA,NA
"24",1989-01-24,-2,0,-6,10,4,6,1,0,0,0,23,1,NA,NA,NA,NA,10,2,1,16,5,16,9,13,4,2,30,11,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"25",1989-01-25,0,-2,-6,NA,2,5,1,0,0,-1,23,1,NA,NA,NA,NA,9,1,7,15,10,18,8,16,7,3,NA,10,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,NA,NA,NA
"26",1989-01-26,1,-2,-6,NA,2,7,4,6,-1,-4,NA,0,NA,NA,NA,NA,11,7,2,13,11,21,10,17,10,3,32,7,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,30,NA,0,NA,NA,NA,NA
