ord,date,TMIN_Albacete,TMIN_Amsterdam,TMIN_Beijng,TMIN_Chicago,TMIN_Frankfurt,TMIN_HongKong,TMIN_London,TMIN_Madrid,TMIN_NewYork,TMIN_Oviedo,TMIN_Paris,TMIN_Seoul,TMIN_Singapore,TMIN_Tokyo,TMIN_Dubai,TMAX_Albacete,TMAX_Amsterdam,TMAX_Beijng,TMAX_Chicago,TMAX_Frankfurt,TMAX_HongKong,TMAX_London,TMAX_Madrid,TMAX_NewYork,TMAX_Oviedo,TMAX_Paris,TMAX_Seoul,TMAX_Singapore,TMAX_Tokyo,TMAX_Dubai,PRCP_Albacete,PRCP_Amsterdam,PRCP_Beijng,PRCP_Chicago,PRCP_Frankfurt,PRCP_HongKong,PRCP_London,PRCP_Madrid,PRCP_NewYork,PRCP_Oviedo,PRCP_Paris,PRCP_Seoul,PRCP_Singapore,PRCP_Tokyo,PRCP_Dubai
1,01-01-89,-5,5,-8,-7,3,11,NA,-6,0,-1,NA,NA,24,5,NA,11,9,-1,1,7,17,NA,15,2,7,6,4,30,12,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,0,NA
2,02-01-89,-6,3,-8,-11,3,12,NA,-6,2,-2,NA,-4,NA,4,NA,12,8,3,-1,8,17,8,14,7,7,6,NA,32,13,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,3,0,NA
3,03-01-89,-4,0,-6,-10,0,13,3,-7,-2,2,NA,NA,24,3,NA,5,5,5,-1,4,19,NA,9,4,11,5,3,32,14,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,5,0,NA
4,04-01-89,-7,1,-8,-13,0,NA,NA,-6,-12,5,-1,-7,NA,4,NA,8,6,4,-3,4,20,11,10,-2,9,4,2,31,10,NA,0,0,0,0,9,NA,NA,0,0,11,NA,NA,0,0,NA
5,05-01-89,-4,4,-4,-5,4,15,NA,-4,-12,4,4,-8,25,2,NA,10,7,0,2,6,NA,NA,10,-3,11,7,6,31,10,NA,0,64,17,61,136,NA,30,0,0,0,3,NA,0,0,NA
6,06-01-89,0,4,-2,1,4,15,8,-1,-6,7,7,0,24,3,NA,10,10,0,3,10,18,NA,7,-3,14,13,NA,31,12,NA,18,29,62,28,24,NA,NA,48,109,324,43,NA,0,0,NA
7,07-01-89,4,3,-8,-6,5,NA,NA,2,-3,7,7,6,NA,5,NA,10,9,6,12,10,23,NA,12,2,12,13,11,32,12,NA,0,2,0,30,7,NA,NA,0,3,2,5,NA,0,0,NA
8,08-01-89,3,8,-2,-13,6,19,8,-3,2,1,8,NA,24,6,NA,13,10,6,-6,10,21,10,14,10,11,9,10,32,10,NA,0,0,0,3,1,0,0,0,51,0,NA,46,NA,75,NA
9,09-01-89,-2,7,-3,-14,8,NA,9,-3,1,4,NA,5,24,8,NA,15,9,7,-2,10,21,11,14,7,13,9,7,NA,11,NA,0,4,0,0,3,0,0,0,0,3,NA,23,NA,0,NA
10,10-01-89,-3,3,-1,-4,6,18,NA,0,-2,6,6,NA,NA,7,NA,12,9,3,3,10,19,NA,16,3,12,9,8,NA,12,NA,3,29,0,0,3,0,NA,24,0,0,8,5,NA,5,NA
11,11-01-89,2,1,-4,-4,2,NA,NA,4,0,5,5,NA,NA,8,NA,12,6,0,7,8,24,NA,12,6,13,11,7,NA,14,NA,0,0,0,10,0,0,NA,0,0,0,NA,140,NA,0,NA
12,12-01-89,0,4,-7,-7,2,NA,NA,0,0,5,4,NA,NA,8,NA,10,9,0,6,8,18,10,15,9,16,10,2,NA,11,NA,0,26,0,0,10,NA,53,0,152,0,NA,0,NA,55,NA
13,13-01-89,-4,4,-9,-8,2,NA,NA,-1,-2,6,3,NA,NA,7,NA,14,8,2,1,9,8,NA,15,7,17,10,1,NA,9,NA,0,0,0,0,0,NA,0,0,0,0,NA,5,NA,0,NA
14,14-01-89,-2,6,-8,-6,0,5,NA,-2,-4,7,6,-8,NA,6,NA,8,10,0,-1,8,8,NA,16,4,13,11,0,NA,8,NA,0,16,0,3,1,0,33,0,51,0,NA,NA,NA,0,NA
15,15-01-89,-4,6,-10,-6,0,6,6,0,3,3,2,-6,NA,3,NA,8,10,3,3,8,10,11,16,9,13,11,1,NA,6,NA,0,0,0,0,0,0,0,0,64,0,NA,NA,NA,0,NA
16,16-01-89,4,6,-8,-7,3,7,NA,1,1,3,0,NA,NA,2,NA,12,10,5,6,7,11,10,12,7,13,11,4,NA,8,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,NA
17,17-01-89,4,0,-8,-1,1,9,NA,-1,1,3,1,-4,NA,2,NA,8,8,1,7,6,16,NA,12,9,13,5,5,NA,10,NA,7,14,0,0,2,0,20,0,0,0,NA,NA,NA,0,NA
18,18-01-89,1,-1,-8,-2,2,12,NA,2,2,2,3,-2,NA,4,NA,7,6,1,7,6,21,8,12,10,11,6,NA,NA,12,NA,0,0,0,0,0,0,NA,0,8,0,NA,NA,NA,0,NA
19,19-01-89,2,1,-8,-4,-1,12,-4,-2,4,1,NA,3,NA,8,NA,10,4,6,9,5,16,NA,10,9,11,6,6,NA,16,NA,0,0,0,0,0,0,NA,1,5,0,NA,23,NA,0,NA
